query_id,A_map@k,B_map@k,D_map@k,A_ndcg@k,B_ndcg@k,D_ndcg@k,A_precision@k,B_precision@k,D_precision@k,A_recall@k,B_recall@k,D_recall@k
q_haut4091->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4099->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4101->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4103->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4105->bas,0.500000,0.500000,0.000000,0.630930,0.630930,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4107->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4109->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4111->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut41132->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4115->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4117->bas,0.500000,1.000000,0.500000,0.630930,1.000000,0.369070,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4119->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4125->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4129->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_haut4133->bas,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
